"Withdrawal Settings","Widerrufs-Einstellungen"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Der Shop wird Ihren Widerruf bearbeiten und Sie bezüglich der nächsten Schritte kontaktieren (z.B. Rücksendung, Rückerstattung)."
"If you have any questions, please contact us.","Bei Fragen kontaktieren Sie uns bitte."
"A new withdrawal request has been submitted.","Ein neuer Widerruf wurde eingereicht."
"Customer Name:","Kundenname:"
"Allowed Order Statuses","Erlaubte Bestellstatus"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Widerruf ist nur für Bestellungen mit diesem Status möglich. Standard: pending, processing, complete."
"Customer Email:","Kunden-E-Mail:"
"Please review this withdrawal request and take the necessary steps.","Bitte prüfen Sie diesen Widerruf und leiten Sie die notwendigen Schritte ein."
"Withdrawal is only possible for orders with one of these statuses.","Widerruf ist nur für Bestellungen mit einem dieser Status möglich."
"Excluded Product Attributes","Ausgeschlossene Produktattribute"
"Comma-separated list of product attribute codes. Products with these attributes set to 'Yes' or '1' will be excluded from withdrawal (e.g., is_personalized,is_perishable,custom_made)","Kommaseparierte Liste von Produktattribut-Codes. Produkte mit diesen Attributen, die auf 'Ja' oder '1' gesetzt sind, werden vom Widerruf ausgeschlossen (z.B. is_personalized,is_perishable,custom_made)"
"Withdrawable Items","Widerrufbare Artikel"
"Non-Withdrawable Items","Nicht widerrufbare Artikel"
"Already Withdrawn Items","Bereits widerrufene Artikel"
"This product cannot be withdrawn","Dieses Produkt kann nicht widerrufen werden"
"Some items cannot be withdrawn due to their properties","Einige Artikel können aufgrund ihrer Eigenschaften nicht widerrufen werden"
"Withdraw More Items","Weitere Artikel widerrufen"
"Withdraw Order","Bestellung widerrufen"
"Withdrawal Type","Widerrufstyp"
"Full Withdrawal","Vollständiger Widerruf"
"Partial Withdrawal","Teilwiderruf"
"Withdrawn Items","Widerrufene Artikel"
"Partial withdrawal: %1 of %2 items withdrawn on %3","Teilwiderruf: %1 von %2 Artikeln widerrufen am %3"
"Full withdrawal submitted on %1","Vollständiger Widerruf eingereicht am %1"
"This is a partial withdrawal","Dies ist ein Teilwiderruf"
"Withdrawn items:","Widerrufene Artikel:"
"Non-withdrawable items:","Nicht widerrufbare Artikel:"
"Withdrawal Type:","Widerrufstyp:"
"Items:","Artikel:"
"No items available for withdrawal.","Keine Artikel für Widerruf verfügbar."
"Already withdrawn","Bereits widerrufen"
"Select all items","Alle Artikel auswählen"
"(%1 of %2 selected)","(%1 von %2 ausgewählt)"
"You are about to withdraw %1 item(s) from this order.","Sie sind dabei, %1 Artikel aus dieser Bestellung zu widerrufen."
"Select the items you wish to withdraw from this order.","Wählen Sie die Artikel aus, die Sie widerrufen möchten."
"Please select at least one item to withdraw.","Bitte wählen Sie mindestens einen Artikel zum Widerrufen aus."
"Some items in this order cannot be withdrawn due to their properties (e.g., personalized or perishable goods).","Einige Artikel in dieser Bestellung können aufgrund ihrer Eigenschaften (z.B. personalisierte oder verderbliche Waren) nicht widerrufen werden."
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for the selected items.","Mit dem Absenden des Widerrufs erklären Sie, dass Sie den Kaufvertrag für die ausgewählten Artikel widerrufen möchten."
"Only the selected items marked as ""Withdrawable"" will be processed.","Nur die ausgewählten Artikel, die als ""Widerrufbar"" markiert sind, werden bearbeitet."
"%1 items cannot be withdrawn and will remain in the order.","%1 Artikel können nicht widerrufen werden und bleiben in der Bestellung."
"One item cannot be withdrawn and will remain in the order.","Ein Artikel kann nicht widerrufen werden und bleibt in der Bestellung."
"Withdrawal Submitted Successfully","Widerruf erfolgreich eingereicht"
"Previous Withdrawal Detected","Vorheriger Widerruf erkannt"
"You have already withdrawn %1 item(s) from this order. You can withdraw additional items from the remaining withdrawable items.","Sie haben bereits %1 Artikel aus dieser Bestellung widerrufen. Sie können weitere Artikel aus den verbleibenden widerrufbaren Artikeln widerrufen."
"Some items have already been withdrawn.","Einige Artikel wurden bereits widerrufen."
"All items in this order have already been withdrawn.","Alle Artikel in dieser Bestellung wurden bereits widerrufen."
"Back to Order History","Zurück zur Bestellübersicht"
"These items have already been withdrawn in a previous request.","Diese Artikel wurden bereits in einer vorherigen Anfrage widerrufen."
"Full withdrawal","Vollständiger Widerruf"
"Withdrawal Updated for Order #%order_increment_id","Widerruf aktualisiert für Bestellung #%order_increment_id"
"Withdrawal Updated","Widerruf aktualisiert"
"You have withdrawn additional items from Order #%order_increment_id.","Sie haben weitere Artikel aus der Bestellung #%order_increment_id widerrufen."
"Latest Withdrawal Date","Datum des letzten Widerrufs"
"Newly Withdrawn Items","Neu widerrufene Artikel"
"Total Withdrawn Items","Insgesamt widerrufene Artikel"
"Complete Withdrawal","Vollständiger Widerruf"
"All withdrawable items from this order have now been withdrawn.","Alle widerrufbaren Artikel aus dieser Bestellung wurden jetzt widerrufen."
"The shop will process your updated withddrawal request and contact you regarding the next steps.","Der Shop wird Ihre aktualisierte Widerrufsanfrage bearbeiten und Sie bezüglich der nächsten Schritte kontaktieren."
"Customer has withdrawn additional items from an existing withdrawal request.","Der Kunde hat weitere Artikel aus einer bestehenden Widerrufsanfrage widerrufen."
"Please review this updated withdrawal request and take the necessary steps.","Bitte prüfen Sie diese aktualisierte Widerrufsanfrage und leiten Sie die notwendigen Schritte ein."
